,food_com,food_sci,synonyms_open_tree_of_life,synonyms_wiki_search,synonyms_ncbi,synonyms_all_sources
147782,foxtail_millet,setaria_italica,? moharica; Alopecurus caudatus; Chaetochloa germanica; Chaetochloa italica; Chaetochloa italica germanica; Chamaeraphis italica; Chamaeraphis italica elobulata; Chamaeraphis italica germanica; Chamaeraphis italica macrochaeta; Echinochloa erythrosperma; Echinochloa intermedia; Ixophorus italicus; Oplismenus intermedius; Panicum chinense; Panicum erythrospermum; Panicum germanicum; Panicum globulare; Panicum intermedium; Panicum italicum; Panicum italicum brevisetum; Panicum italicum californicum; Panicum italicum compactum; Panicum italicum erythrospermum; Panicum italicum germanicum; Panicum italicum inerme; Panicum italicum longisetum; Panicum italicum macrochaetum; Panicum italicum mitis; Panicum italicum moharicum; Panicum italicum moharium; Panicum italicum nigrum; Panicum italicum pabularis; Panicum italicum praecox; Panicum italicum violaceum; Panicum itieri; Panicum macrochaetum; Panicum maritimum; Panicum melfrugum; Panicum miliaceum; Panicum moharicum; Panicum moharium; Panicum panis; Panicum pumilum; Panicum verticillatum majus; Panicum viride italicum; Panicum vulgare; Paspalum germanicum; Penicillaria italica; Pennisetum germanicum; Pennisetum italicum; Pennisetum macrochaetum; Setaria californica; Setaria compacta; Setaria erythrosperma; Setaria flavida; Setaria germanica; Setaria globularis; Setaria italica barbata; Setaria italica colchica; Setaria italica compacta; Setaria italica germanica; Setaria italica italica; Setaria italica macrochaeta; Setaria italica maxima; Setaria italica moharia; Setaria italica nigrofructa; Setaria italica nuda; Setaria italica purpurea; Setaria italica rubrofructa; Setaria italica stramineofructa; Setaria itieri; Setaria japonica; Setaria macrochaeta; Setaria maritima; Setaria melinis; Setaria moharia; Setaria multiseta; Setaria pachystachya; Setaria panis; Setaria violacea; Setaria viridis italica; Setaria viridis multiseta; Setaria viridis subsp. italica; Setariopsis italica,Foxtail millet; green foxtail; Italian millet; German millet; Hungarian millet,"Chaetochloa italica; Panicum italicum; Pennisetum macrochaetum; Setaria viridis subsp. italica; foxtail millet; Chaetochloa italica (L.) Scribn., 1897; Panicum italicum L., 1753; Pennisetum macrochaetum J.Jacq., 1820; Setaria italica (L.) P.Beauv., 1812; Setaria viridis subsp. italica (L.) Briq., 1910",
147785,snake_plant,sansevieria_trifasciata,Sansevieria jacquinii; Sansevieria laurentii; Sansevieria trifasciata laurentii; Sansevieria zeylanica laurentii,Snake plant; Mother-in-law's tongue; Viper's bowstring hemp; Saint George's Sword,"Dracaena trifasciata; snake plant; mother-in-law's tongue; Dracaena trifasciata (Prain) Mabb., 2017; Sansevieria trifasciata Prain, 1903",
147788,trumpet_lily,lilium_longiflorum,Lilium longiflorum normale,loa kèn trắng,"trumpet lily; Easter lily; Lilium longiflorum Thunb., 1794",
147793,,armillaria_gallica,Agaricus melleus; Armillaria bulbosa; Armillaria lutea; Armillariella bulbosa,Armillaria gallica var. marinensis,"Armillaria bulbosa; Armillaria lutea; Armillaria gallica Marxm. & Romagn., 1987",
147795,,dictyoglomus_thermophilum,,,Dictyoglomus thermophilum Saiki et al. 1985; ATCC 35947; ATCC:35947; DSM 3960; DSM:3960; personal::H-6-12; strain H-6-12,
147797,,rhodomicrobium_vannielii,,,Rhodomicrobium vannielii Duchow and Douglas 1949; ATCC 17100; ATCC:17100; BCCM/LMG:4299; DSM 162; DSM:162; LMG 4299; LMG:4299,
147799,,penicillium_roqueforti,Penicillium atro-viridum; Penicillium atroviride; Penicillium conservandi; Penicillium gorgonzola; Penicillium roqueforti punctatum; Penicillium roqueforti roqueforti; Penicillium roqueforti var. punctatum; Penicillium roqueforti var. roqueforti; Penicillium roqueforti var. viride; Penicillium roqueforti viride; Penicillium roqueforti weidemannii; Penicillium virescens; Penicillium weidemannii; Penicillium weidemannii var. weidemannii; Penicillium weidemannii weidemannii,P roqueforti,"Penicillium roqueforti Sopp, 1912; ATCC 10110; ATCC:10110; CBS 221.30; CBS:221.30; CECT 2905; CECT:2905; IMI 24313; IMI:24313; NRRL 849; NRRL:849; QM 1937; QM:1937; Penicillium roquefortii",
147802,,aminobacter_aminovorans,Aminobacter heintzii; Chelatobacter heintzii; Pseudomonas aminovorans,P. aminovorans,"Aminobacter heintzii; Chelatobacter heintzii; Pseudomonas aminovorans; ""Aminobacter heintzii"" (Auling et al. 1993) Volpiano et al. 2021; Aminobacter aminovorans (den Dooren de Jong 1926) Urakami et al. 1992; Chelatobacter heintzii Auling et al. 1993; Pseudomonas aminovorans den Dooren de Jong 1926 (Approved Lists 1980); ATCC 23314; ATCC 29600; ATCC:23314; ATCC:29600; BCCM/LMG:2122; CCUG 2081; CCUG:2081; CIP 106737; CIP:106737; DSM 10368; DSM 7048; DSM:10368; DSM:7048; JCM 7852; JCM:7852; KCTC 2477; KCTC:2477; LMG 2122; LMG:2122; NCCB 26039; NCCB:26039; NCIB 9039; NCIB:9039; NCIMB 9039; NCIMB:9039; NCTC 10684; NCTC:10684; VKM B-2058; VKM:B-2058; culture-collection:VKM:B:2058",
147804,,rhodopseudomonas_viridis,Rhodopseudomonas viridis,,Rhodopseudomonas viridis; Blastochloris viridis (Drews and Giesbrecht 1966) Hiraishi 1997; Rhodopseudomonas viridis Drews and Giesbrecht 1966 (Approved Lists 1980); ATCC 19567; ATCC:19567; BCCM/LMG:4321; CCUG 30818; CCUG 7830; CCUG:30818; CCUG:7830; DSM 133; DSM:133; HAMBI 1089; HAMBI:1089; LMG 4321; LMG:4321; NBRC 102659; NBRC:102659; personal::G. Drews F; strain G. Drews F,
147806,channeled_whelk,busycon_canaliculatum,Busycon canaliculatum; Murex canaliculatus,,"Busycon canaliculatum; Murex canaliculatus; channeled whelk; Busycon canaliculatum C. Linnaeus, 1758; Murex canaliculatus Linnaeus, 1758",
147825,sweet_wormwood,artemisia_annua,Artemisia annua annua; Artemisia annua genuina; Artemisia annua macrocephala; Artemisia chamomilla; Artemisia exilis; Artemisia hyrcana; Artemisia plumosa; Artemisia stewartii; Artemisia suaveolens; Artemisia wadei; Omalotheca stewartii,Artemisia annua L. (Linnaeus),"sweet wormwood; sweet Annie; Artemisia annua L., 1753; Artemesia annua",
147830,aztec_tobacco,nicotiana_rustica,Nicotia rustica; Nicotiana andicola; Nicotiana angustifolia; Nicotiana asiatica; Nicotiana brasilia; Nicotiana humilis; Nicotiana minor; Nicotiana pumila; Nicotiana pusilla; Nicotiana rugosa; Nicotiana scabra; Nicotiana sibirica; Nicotiana tatarica; Nicotiana turcica,mahorka,"Aztec tobacco; wild tobacco; Nicotiana rustica L., 1753",
147845,,macrobrachium_olfersii,Bithynis olfersii; Macrobrachium birai; Macrobrachium holthuisi; Macrobrachium olfersi; Palaemon consobrinus; Palaemon desausuri; Palaemon olfersii; Palaemon potiporanga; Palaemon spinimanus,Palaemon consobrinus,"Macrobrachium birai; Macrobrachium holthuisi; Palaemon olfersii; Macrobrachium birai Lobao, Melo & Fernandes 1986; Macrobrachium holthuisi Genofre & Lobao, 1978; Macrobrachium olfersii (Wiegmann, 1836); Palaemon olfersii Wiegmann, 1836; Macrobrachium olfersi",
148032,,cereus_peruvianus,Brachycereus nesioticus; Cereus hildmannianus xanthocarpus; Cereus neonesioticus; Cereus nesioticus; Cereus peruvianus; Cereus uruguayanus; Cereus xanthocarpus; Piptanthocereus neonesioticus; Piptanthocereus neonesioticus interior; Piptanthocereus peruvianus; Piptanthocereus xanthocarpus; Stenocereus peruvianus,,"Piptanthocereus peruvianus; Cereus peruvianus C.F.Först., 1846; Piptanthocereus peruvianus (L.) Riccob.",
148034,,bacillus_firmus,Bacillaceae bacterium HQ2; Bacillus sp. JP44SK20; Bacillus sp. LK28; Bacillus sp. NCIM 2264; Bacillus sp. NCIM 2462,,Bacillus firmus; Bacillus firmus Bredemann and Werner 1933; Cytobacillus firmus (Bredemann and Werner 1933) Patel and Gupta 2020; ATCC 14575; ATCC:14575; BCCM/LMG:7125; BCRC 11730; BCRC:11730; CCM 2213; CCM:2213; CCRC 11730; CCRC:11730; CCUG 7418; CCUG:7418; CIP 52.70; CIP:52.70; DSM 12; DSM:12; HAMBI 1886; HAMBI:1886; IAM 12464; IAM:12464; IFO 15306; IFO:15306; JCM 2512; JCM:2512; LMG 7125; LMG:7125; NBRC 15306; NBRC:15306; NCAIM B.01087; NCCB 48015; NCCB:48015; NCIB 9366; NCIMB 9366; NCIMB:9366; NCTC 10335; NCTC:10335; NRRL B-14307; NRRL NRS-613; NRRL:B-14307; NRRL:NRS-613; VKM B-498; VKM:B-498; culture-collection:NRRL:B:14307; culture-collection:NRRL:NRS:613; culture-collection:VKM:B:498,
148036,,abies_grandis,Abies aromatica; Abies excelsior; Abies gordoniana; Abies grandis grandis; Abies grandis idahoensis; Abies lasiocarpa; Picea grandis; Pinus grandis,giant fir; lowland white fir; great silver fir; western white fir; Vancouver fir; Oregon fir; hem fir; coast grand fir; interior grand fir; grand fir,"Pinus grandis; grand fir; lowland white fir; sapin grandissime; yellow fir; Abies grandis (Douglas ex D.Don) Lindl., 1833; Pinus grandis Douglas ex. D.Don, 1832",
148040,,parthenium_argentatum,Parthenium argentatum argentatum,Guayule,"Parthenium argentatum A.Gray, 1859",
148057,,dicentrarchus_labrax,Centropomus lupus; Centropomus mullus; Dicentrarchus elongatus; Dicentrarchus lupus; Labrax diacanthus; Labrax elongatus; Labrax labrax; Labrax linnei; Labrax lupus; Labrax vulgaris; Morone labrax; Perca diacantha; Perca elongata; Perca labrax; Perca sinuosa; Roccus labrax; Sciaena diacantha; Sciaena labrax,,"Labrax labrax; Morone labrax; Perca labrax; Roccus labrax; Sciaena labrax; European seabass; European sea bass; Dicentrarchus labrax (Linnaeus, 1758); Perca labrax Linnaeus, 1758",
148059,,thermosynechococcus_elongatus,,,"Synechococcus elongatus var. vestitus; Thermosynechococcus elongatus; Synechococcus elongatus var. vestitus J.J.Copeland, 1936; Thermosynechococcus elongatus H.Katoh, S.Itoh, J.-R.Shen & M.Ikeuchi, 2001; Thermosynechococcus vestitus (J.J.Copeland, 1936) Komárek & Strunecký, 2020; CBFS A-120-1; CBFS:A-120-1; IAM M-273; IAM M-273†; IAM-M-273; IAM-M-273†; IAM:M-273; IAM:M-273†; IAMM-273; IAMM-273†; NIES-2133; NIES:2133; personal::BP-1; strain BP-1",
148155,,campanula,"Annaea; Brachycodon; Campanulastrum; Campanulastrum Small, 1903; Diosphaera; Echinocodon; Fedorovia; Gadellia; Hyssaria; Medium; Mzymtella; Neocodon; Pseudocampanula; Rapuntia; Rapuntium; Rotantha; Sachokiella; Sicyocodon; Sicyodon; Symphiandra; Symphyandra; Tracheliopsis",bellflower,"Campanulastrum; Campanulastrum Small, 1903; Campanula L., 1753; Diosphaera Feer, 1894; Gadellia Shulkina, 1979",
148157,chinese_bush-clover,lespedeza_cuneata,,,"Anthyllis cuneata; sericea lespedeza; Chinese bush-clover; perennial lespedeza; Anthyllis cuneata Dum.Cours., 1811; Lespedeza cuneata (Dum.Cours.) G.Don, 1832",
148158,scotch_pine,pinus_sylvestris,Picea orientalis nana; Pinus erzeroomica; Pinus nigra pygmaea; Pinus sylvestris catalaunica; Pinus sylvestris fruticosa; Pinus sylvestris nana; Pinus sylvestris pyreneica,Scots Pine,"Scots pine; Scotch pine; Pinus sylvestris L., 1753",
148160,salsify,tragopogon_porrifolius,Tragopogon porrifolius aequalis; Tragopogon porrifolius cupani; Tragopogon porrifolius porrifolius; Tragopogon porrifolius sativus,salsify; purple salsify; goat's beard; goat's beard salsify; vegetable oyster; oyster plant; common salsify; Jerusalem star; goatsbeard; kalapi; Jack go to bed,"salsify; oyster plant; Tragopogon porrifolius L., 1753; Tragopogon porrifolious",
148161,,trifolium_pannonicum,,,"Trifolium pannonicum Jacq., 1767",
148163,,scolymus_hispanicus,Scolymus angiospermos; Scolymus grandiflorus; Scolymus hispanica; Scolymus hispanicus aurantiacus; Scolymus hispanicus hispanicus; Scolymus perennis,,"Scolymus hispanicus L., 1753",
148339,,malus_sylvestris,Malus acerba; Malus malus; Pyrus acerba; Pyrus malus malus; Pyrus malus sylvestris,crab apple; European crab apple,"Pyrus malus var. sylvestris; European crab apple; Malus sylvestris (L.) Mill., 1768; Pyrus malus var. sylvestris L., 1753",
148866,black_bamboo,phyllostachys_nigra,Bambusa nigra; Phyllostachys henionis; Phyllostachys nigra henionis; Phyllostachys puberula nigra; Phyllostachys stolonifera; Sinoarundinaria nigra,Black bamboos,"Bambusa nigra; black bamboo; Bambusa nigra Lodd. ex Lindl., 1835; Phyllostachys nigra (Lodd. ex Lindl.) Munro, 1868",
148867,,phragmites_communis,? subnudiflorus; Agrostis stolonifera salina; Arundo aggerum; Arundo australis; Arundo naga; Arundo phragmites nigricans; Arundo phragmites pumila; Arundo phragmites rivularis; Arundo phragmites stolonifera; Arundo phragmites variegata; Arundo vulgaris; Phragmites arundinaceus; Phragmites caudatus; Phragmites communis; Phragmites communis flavescens; Phragmites communis genuinus; Phragmites communis humilis; Phragmites communis minor; Phragmites communis nana; Phragmites communis repens; Phragmites communis salina; Phragmites communis stolonifera; Phragmites communis subbiflora; Phragmites communis subuniflora; Phragmites communis uniflora; Phragmites communis variegatus; Phragmites explanatus; Phragmites occidentalis; Phragmites phragmites; Phragmites vulgaris; Xenochloa arundinacea,common reed,"Arundo australis; Phragmites communis; common reed; Arundo australis Cav., 1799; Phragmites australis (Cav.) Trin. ex Steud., 1841",
148868,birches,betula_platyplylla,,,"birches; Betula L., 1753",
148869,mountain_soursop,annona_montana,Annona marcgravii; Annona montana marcgravii; Annona pisonis; Annona sphaerocarpa,Mountain soursop; Wild soursop,"mountain soursop; wild soursop; Annona montana Macfad., 1837",
149023,,leifsonia_sp.,,,Diaminobutyricibacter sp.,
149158,roman_chamomile,anthemis_nobilis,Anacyclus aureus; Anthemis aurea; Anthemis chamomilla-romana; Anthemis nobilis; Anthemis nobilis multiplex; Anthemis odorata; Anthemis santolinoides; Aster willkommii discoideus; Chamaemelum mixtum aureum; Chamaemelum nobile aureum; Chamaemelum nobile discoideum; Chamaemelum nobile duplicatum; Chamaemelum nobile nobile; Chamaemelum nobile nudum; Chamaemelum romanum; Chamomilla nobilis; Lyonettia abrotanifolia; Lyonnetia abrotanifolia; Matricaria nobilis; Ormenis aurea; Ormenis nobilis; Ormenis nobilis aurea; Ormenis nobilis discoidea; Ormenis nobilis nobilis; Ormenis santolinoides,Chamamelum nobile; chamomile; Roman chamomile; garden dog-fennel,"Anthemis nobilis; Anthemis nobilis L., 1753; Chamaemelum nobile (L.) All., 1785",
149159,mediterranean_fruit_fly,ceratitis_capitata,Ceratitis asparagi; Ceratitis citripeda; Ceratitis citriperda; Ceratitis hispanica; Pardalapsis asparagi; Pardalaspis asparagi; Tephritis capitata; Trypeta capitata,Mediterranean fruit fly; Medfly,"Mediterranean fruit fly; medfly; Ceratitis capitata Wiedemann, 1824",
149160,roman_chamomile,chamaemelum_nobile,Anacyclus aureus; Anthemis aurea; Anthemis chamomilla-romana; Anthemis nobilis; Anthemis nobilis multiplex; Anthemis odorata; Anthemis santolinoides; Aster willkommii discoideus; Chamaemelum mixtum aureum; Chamaemelum nobile aureum; Chamaemelum nobile discoideum; Chamaemelum nobile duplicatum; Chamaemelum nobile nobile; Chamaemelum nobile nudum; Chamaemelum romanum; Chamomilla nobilis; Lyonettia abrotanifolia; Lyonnetia abrotanifolia; Matricaria nobilis; Ormenis aurea; Ormenis nobilis; Ormenis nobilis aurea; Ormenis nobilis discoidea; Ormenis nobilis nobilis; Ormenis santolinoides,Chamamelum nobile; chamomile; Roman chamomile; garden dog-fennel,"Anthemis nobilis; Anthemis nobilis L., 1753; Chamaemelum nobile (L.) All., 1785",
149162,squid,coleoidea,Dibranchiata,octopuses,Dibranchiata,
149163,crustaceans,crustacea,,crustaceans; crustacean,crustaceans,
149164,scallop,patinopecten,Blackenhornia; Platinopecten,,,
149165,monkey,platyrrhini,,New World monkeys; platyrrhines; platyrrhine monkeys,New World monkeys; monkey; monkeys,
149284,,thermocrispum_municipale,,,Thermocrispum municipale Korn-Wendisch et al. 1995; Thermocrispum municipale Korn-Wendisch et al. 1995 emend. Nouioui et al. 2018; ATCC 51796; ATCC:51796; DSM 44069; DSM:44069; IFO 15806; IFO:15806; JCM 9704; JCM:9704; NBRC 15806; NBRC:15806; personal::MKD35; strain MKD35,
149286,,aromatoleum_aromaticum_ebn1,Aromatoleum aromaticum str. EbN1; Aromatoleum aromaticum strain EbN1; Azoarcus sp. EbN1,,Azoarcus sp. EbN1; Aromatoleum aromaticum str. EbN1; Aromatoleum aromaticum strain EbN1,
149329,chickling_pea,lathyrus_sativus,Lathyrus angulatus; Lathyrus asiaticus; Lathyrus cicera sativus; Lathyrus sativas; Lathyrus sativus asiaticus; Lathyrus stenophyllus,hrachor setý,"Indian pea; chickling vetch; white pea; Lathyrus sativus L., 1753",
149387,,pterocarpus_marsupium,Lingoum marsupium; Pterocarpus bilobus,East Indian kino; bija tree,"Pterocarpus marsupium Roxb., 1799",
149540,,papio_sp.,,,,
149542,,sphingobacterium_thalpophilum,Flavobacterium thalpophilum,,Flavobacterium thalpophilum; Flavobacterium thalpophilum Holmes et al. 1983; Sphingobacterium thalpophilum (Holmes et al. 1983) Takeuchi and Yokota 1993 emend. Hahnke et al. 2016; ATCC 43320; ATCC:43320; CCUG 22397; CCUG:22397; CIP 100935; CIP:100935; DSM 11723; DSM:11723; IFO 14963; IFO:14963; JCM 21153; JCM:21153; NBRC 14963; NBRC:14963; NCTC 11429; NCTC:11429; NRRL B-14902; NRRL:B-14902; culture-collection:NRRL:B:14902; personal::K-1173; strain K-1173,
149550,,puccinia_recondita,Aecidium aconiti-napelli; Aecidium anchusae; Aecidium aquilegiae; Aecidium asperifolii; Aecidium asperifolii asperifolii; Aecidium asperifolii cynoglossi; Aecidium asperifolii lycopsidis-arvensis; Aecidium asperifolii symphyti-tuberosi; Aecidium asperifolii urticae; Aecidium asperifolii var. asperifolii; Aecidium asperifolii var. cynoglossi; Aecidium asperifolii var. lycopsidis-arvensis; Aecidium asperifolii var. symphyti-tuberosi; Aecidium asperifolii var. urticae; Aecidium asperifoliorum; Aecidium clematidis; Aecidium hellebori; Aecidium pulmonariae; Aecidium ranunculacearum aquilegiae; Aecidium ranunculacearum aquilegiae-vulgaris; Aecidium ranunculacearum clematidis; Aecidium ranunculacearum thalictri; Aecidium ranunculacearum var. aquilegiae; Aecidium ranunculacearum var. aquilegiae-vulgaris; Aecidium ranunculacearum var. clematidis; Aecidium ranunculacearum var. thalictri; Aecidium thalictri; Caeoma boragineatum; Dicaeoma agropyrum; Dicaeoma aquilegiae; Dicaeoma asperifolii; Dicaeoma boreale; Dicaeoma dispersum; Dicaeoma perplexans; Dicaeoma persistens; Pleomeris agropyrina; Pleomeris agrostidis; Pleomeris bromina; Pleomeris dispersa; Pleomeris perplexans; Pleomeris persistens; Pleomeris triticina; Puccinia acteae-agropyri; Puccinia agropyri; Puccinia agropyrina; Puccinia agrostidis; Puccinia agrostis; Puccinia asperifolii; Puccinia borealis; Puccinia bromina; Puccinia bromina subsp. symphyti-bromorum; Puccinia bromina symphyti-bromorum; Puccinia cerinthes-agropyrina; Puccinia cerinthes-agropyrina echii-agropyrina; Puccinia cerinthes-agropyrina f.sp. echii-agropyri; Puccinia clematidis-agropyri; Puccinia dispersa; Puccinia dispersa f. sp. tritici; Puccinia dispersa f.sp. tritici; Puccinia milii-effusi; Puccinia perplexans; Puccinia perplexans triticina; Puccinia perplexans var. triticina; Puccinia persistens; Puccinia persistens agropyri; Puccinia persistens agropyrina; Puccinia persistens borealis; Puccinia persistens bromi-erecti; Puccinia persistens cerinthes-agropyrina; Puccinia persistens heteroecica; Puccinia persistens milii-effusi; Puccinia persistens persistens; Puccinia persistens sardonensis; Puccinia persistens scarlensis; Puccinia persistens subsp. agropyri; Puccinia persistens subsp. agropyrina; Puccinia persistens subsp. persistens; Puccinia persistens subsp. triticina; Puccinia persistens thalictri-distichophylli; Puccinia persistens thalictri-koeleriae; Puccinia persistens triticina; Puccinia persistens var. agropyrina; Puccinia persistens var. borealis; Puccinia persistens var. bromi-erecti; Puccinia persistens var. cerinthes-agropyrina; Puccinia persistens var. heteroecica; Puccinia persistens var. milii-effusi; Puccinia persistens var. persistens; Puccinia persistens var. sardonensis; Puccinia persistens var. scarlensis; Puccinia persistens var. thalictri-distichophylli; Puccinia persistens var. thalictri-koeleriae; Puccinia persistens var. triticina; Puccinia recondita f.sp. agropyrina; Puccinia recondita f.sp. borealis; Puccinia recondita f.sp. bromina; Puccinia recondita f.sp. echii-agropyrina; Puccinia recondita f.sp. perplexans; Puccinia recondita f.sp. persistens; Puccinia recondita f.sp. triticina; Puccinia recondita persistens; Puccinia recondita subsp. persistens; Puccinia rubigo-vera; Puccinia rubigo-vera agrostidis; Puccinia rubigo-vera f. rubigo-vera; Puccinia rubigo-vera f.sp. agrostidis; Puccinia rubigo-vera f.sp. perplexans; Puccinia rubigo-vera rubigo-vera; Puccinia sardonensis; Puccinia scarlensis; Puccinia secalina; Puccinia sp. ML-2013b; Puccinia straminis; Puccinia symphyti-bromorum; Puccinia thalictri-distichophylli; Puccinia thalictri-koeleriae; Puccinia thalictri-koeteriae; Puccinia triticina; Trichobasis rubigo-vera; Uredo dispersa; Uredo rubigo-vera; Uromyces rubigo-vera; Uromyces rubigo-verus,Aecidium thalictri; Uredo rubigo-vera; Puccinia secalina; Pleomeris triticina; Aecidium aquilegiae; Puccinia asperifolii; Pleomeris bromina; Puccinia dispersa; Trichobasis rubigo-vera; Puccinia symphyti-bromorum; Puccinia agropyri; Puccinia agropyrina; Aecidium clematidis; Pleomeris perplexans; Pleomeris dispersa; Puccinia borealis; Aecidium anchusae; Puccinia bromina; Pleomeris agropyrina; Puccinia persistens; Puccinia perplexans; Aecidium hellebori; Aecidium asperifolii; Pleomeris persistens; Puccinia triticina,"Puccinia recondita Roberge ex Desm., 1857",
149557,,lysobacter_sp._t-15,,,,
149574,,uromyces_phaseoli,? phaseoli; Caeoma phaseoli; Caeomurus appendiculatus; Caeomurus phaseolorum; Coeomurus appendiculatus; Coeomurus phaseolarum; Coeomurus phaseolorum; Erysibe appendiculata; Erysibe appendiculata appendiculata; Nigredo appendiculata; Puccinia phaseoli; Puccinia phaseoli phaseoli; Puccinia phaseoli var. phaseoli; Uredo appendiculata; Uredo appendiculata appendiculata; Uredo appendiculata phaseoli; Uredo appendiculata var. appendiculata; Uredo appendiculata var. phaseoli; Uredo appendiculata α phaseoli; Uredo phaseolarum; Uromyces genistae-tinctoriae; Uromyces phaseoli; Uromyces phaseolorum,,Caeoma phaseoli; Uredo appendiculata var. phaseoli; Uredo phaseolarum; Uredo appendiculata var. phaseoli Pers. 1795; Uromyces phaseoli (Pers.) G. Winter 1881,
149575,,geobacillus_thermocatenulatus,Bacillus thermocatenulatus; Geobacillus gargensis,,Bacillus thermocatenulatus Golovacheva et al. 1991; Geobacillus gargensis; Geobacillus thermocatenulatus (Golovacheva et al. 1991) Nazina et al. 2001; Geobacillus gargensis Nazina et al. 2004; BCCM/LMG:19007; BGSC 93; BGSC 93A1; BGSC:93; BGSC:93A1; DSM 15378; DSM 730; DSM:15378; DSM:730; LMG 19007; LMG:19007; VKM B-1259; VKM B-2300; VKM:B-1259; VKM:B-2300; culture-collection:VKM:B:1259; culture-collection:VKM:B:2300; personal::178; personal::Ga; strain 178; strain Ga; Geobacillus gargaensis,
149576,,streptomyces_cyanogenus,Actinomyces cyanogenus; Streptomyces cyanogenus S136; Streptomyces sp. S136,,"Actinomyces cyanogenus; ""Actinomyces cyanogenus"" Krasil'nikov 1965; ""Streptomyces cyanogenus"" (Krasil'nikov 1965) Pridham 1970; Streptomyces cyanogenes",
149789,cabbage_moth,mamestra_brassicae,Barathra brassicae; Hadena brassicae; Phalaena brassicae,Barathra brassicae,"Phalaena brassicae; cabbage moth; Mamestra brassicae (Linnaeus, 1758); Phalaena brassicae Linnaeus, 1758; Mammestra brassicae",
149790,dumeril's_clam_worm,platynereis_dumerilii,Eunereis africana; Heteronereis fucicola; Heteronereis maculata; Heteronereis malmgreni; Leontis dumerilii; Leptonereis maculata; Mastigonereis quadridentata; Mastigonereis striata; Nereilepas variabilis; Nereis agilis; Nereis alacris; Nereis antillensis; Nereis dumerilii; Nereis glasiovi; Nereis gracilis; Nereis megodon; Nereis peritonealis; Nereis taurica; Nereis zostericola; Platynereis dumerili; Platynereis jucunda; Uncinereis lutea; Uncinereis trimaculosa,P. dumerilii,"Nereis dumerilii; Dumeril's clam worm; Nereis dumerilii Audouin & Milne Edwards, 1833; Platynereis dumerilii (Audouin & Milne-Edwards, 1833); Platynereis dumerlii",
